Node,Eigenvector Centrality
@Umalumewabantu,0.36466482089272456
Umalumewabantu,0.36466482089272456
Naija_PR,0.36466482089272456
@TimesLIVE,0.36466482089272456
@MarcoKiddd,0.36466482089272456
MarcoKiddd,0.36466482089272456
@Naija_PR,0.36466482089272456
@chadwickboseman,0.18614724327091056
chadwickboseman,0.15664861221093046
@Marvel,0.06306674815840799
