Community,Average Degree Centrality,Node Count,Community Description
10,0.0006685282188206,35,sony | @theslick001 @roundrobinrick | daniel radcliffe | @lukesweenz @gangsterenieb | gamora &amp | natasha | @theslick001 @damleo86 @mcu_direct | chadwick boseman
11,0.0006126576754257,34,@damian28581641 @dianasp1984 | va | rocky | jerry judge
12,0.0005706948209444,31,@crystaldynamics | wakanda forever | iam | shuri | kinda | https://t.co/slf0qwbsar | wakanda
13,0.0009892043563037,30,https://t.co/aitnsmheyz via | @youtube r.i.p chadwick boseman | america | https://t.co/bwr5qxiiou | https://t.co/nhxmau6cxt | raffaella carr - rumore - chile | https://t.co/dbchorcckb | | rip chadwick | chadwick boseman's | blackpanther | chadwick boseman black panther | chadwick boseman | kendrick lamar | ripchadwickboseman r.i.p chadwick boseman
14,0.0005706948209444,30,marvelxfortnite | @ceoadam @pubg | sun | @shwyien | cleveland | t'challa | chadwick | shuri | @abs0lutezero @paulbai09507894 | chadwick boseman | steve
15,0.0006297322162146,29,jackie robinson | thurgood marshall | chadwick bozeman | blackpanther | shuri | chadwick boseman | james brown | wakanda foreverr
16,0.0005808857998899,28,sony | india | richard donnor | wolf | @vaughnsmarsh | chadwick | @realscreengeek | shuri | netflix | starz
17,0.000644673779215,27,@stevenstrugglin | jesus | restorethesnyderverse | @consiglierematt | t.l. | texas
18,0.0005478670281067,25,jackie robinson | thurgood marshall | @realdonaldtrump chadwick boseman's | chadwickboseman | bidenharris2020tosaveamerica | @theleegreenwood chadwick boseman's | @realdonaldtrump | chadwick boseman's | @kelleyashbypaul @politico | chadwick boseman | @mighty_flynn | james brown
19,0.0005469158700718,24,ltuhura | @nrosenberg012 @kkabrokwa87 @fightypnw @awsomeboy360 | nichellenichols | ironman | chadwickboseman | right &amp | chadwick | shuri | chadwick boseman
20,0.0006699460941522,23,https://t.co/ypk2xq8mcq | socialmedia | https://t.co/o4zhq7lwv4 | https://t.co/9yyops14ma | https://t.co/fyh0fxvtk1 | black panther &amp | linkeddta | chadwick boseman  star | @chadboseman | @joybhattacharj | chadwick boseman
21,0.0005447541472652,22,chadwickboseman | blackpanther | stan lee | 42 &amp | https://t.co/ocubbpjirq @wildandcosy | @burnettrm @burnettrm
22,0.0005435188770899,21,https://t.co/dgmztjzv9d @emmafuhrmann rip | @prattprattpratt | chris | chadwick boseman | @spidermansweb
23,0.0005706948209444,20,@itswinsomegrace | chadwick | disney and/or marvel | wakanda forever
24,0.0005849621914681,20,chadwick boseman | chadwick
25,0.0005564274504208,20,chadwick boseman | @dynamitepjm @btschartdata chadwick boseman | @v_jooniee @mintyoongem @fliorax @btschartdata chadwick boseman
26,0.0005406582514211,19,moon knight | haydenchristensen | @nathanielhardy | chadwick | hayden christensen | @theandyharris @dillosdiz
27,0.0005371245373595,17,brian patrick | @jamesgunn @davebautista | @in_the_wind9 @jamesgunn @smarvel19 @shaunblake1 | djimon hounsou | @marvel_nick89 @lucidjerah @jamesgunn @vrinkles @marcobotello12 @itsnhutle | jason momoa | chadwick boseman
28,0.0005706948209444,17,chadwick boseman | chadwickboseman
29,0.0005371245373595,17,sony | @tmayc1 @drorjmd @sirkthegod55 | @rrd49196495 | phil | xbox | @satyanadella
30,0.0005371245373595,17,eddie
31,0.0005350263946354,16,"navy | @dissonanceinc @nerdrotics | @nerdrotics @thecriticaldri2 @topgunmovie 

https://t.co/key2wnbnql"
32,0.0007038569458315,15,harry | @merrickn_jr
33,0.0005326484995481,15,
34,0.0005706948209444,15,jackie robinson | @mlb jackie robinson day | thurgood marshall | ripchadwick  @mlb | nooo | marshall | chadwick bozeman | https://t.co/n5tsfo0mu6 | chadwick boseman | @mlb
35,0.0005326484995481,15,@msemon89 | tom holland | @darklight323 @_assisteagora | chadwick | @darklight323 @_assisteagora @nativebrony_91 1 | @nativebrony_91 @darklight323 | @darklight323 @_assisteagora @nativebrony_91
36,0.0005299309051627,14,@eavoss | williams | wakanda | @parsaafroboy
37,0.0008152783156349,14,@800hertz
38,0.0005910767788353,14,disney's | jack curby | @muddude4 @the_moviebob @bubblervolution | jack kirby | stan lee
39,0.0005706948209444,14,chadwick boseman | @bangtanindia
40,0.0005267952193333,13,@tykpz | @wolfplayz | chadwick
41,0.00059264462175,13,tomseaver | @danygarciaco | wrexham | wrexham and/or marvel | stan lee
42,0.0005267952193333,13,america | chris hemsworth died | blackpanther2 | lgbt | tom holland | lesbian | shuri | chadwick boseman | @nasescobar316
43,0.0005487450201389,13,@fayettevillaint | tony stark | @scooby_rell | charcs &amp | chadwick | shuri | cassie lang
44,0.0005231369191991,12,
45,0.0005231369191991,12,@taetaelyz | @armymoonlightt
46,0.0005469158700718,12,jackie chans | shang-chi | chadwick | chadwick boseman | credits#shang | @zackscott
47,0.0005231369191991,12,@buse_chris @therealalmega @deevelliott @skeezix161
48,0.0005188134735859,11,
49,0.0005188134735859,11,@chiney321 | @dougbrownbusa @cnn cnn | @victorblackwell | chadwickboseman
50,0.0005447541472652,11,chadwick boseman
51,0.000622576168303,11,jackie robinson | @chadwickboseman | marshall | https://t.co/y0ma0iv9ll sad news | james brown
52,0.0005188134735859,11,
53,0.0005188134735859,11,sam wilson | america | steve | @phasezerocb
54,0.0005706948209444,11,@poorlyagedstuff
55,0.0005188134735859,11,chadwick boseman
56,0.0006277643030389,10,stan lee | ditko | @beardedchrisp @chaosknightsvw @reedreads4 @biomega8 @sammasgamesyt @annecomics @jandrojuan94 @theuncannyburt @comicbookbob1 | warnermedia
57,0.00051362533885,10,hai stan lee ke | @ashchanchlani ashish | jessica | hai isliye sabko | hai
58,0.00051362533885,10,https://t.co/abmtz8xneg | @nicklein @humberto_ramos @jock4twenty
59,0.0005992295619917,10,@clonewarswords | @sumaleedotcom
60,0.00051362533885,10,me.if | chadwick boseman | stan lee | black panther &amp
61,0.0006848337851334,10,chadwick | @st0nehwut
62,0.00051362533885,10,@serpolnbewildin
63,0.00051362533885,10,@mrniceguy513 | shuri
64,0.00051362533885,10,@clearxclouds
65,0.00051362533885,10,chadwick boseman
66,0.00051362533885,10,@steppiepeppie
67,0.000507284285284,9,wanda
68,0.000507284285284,9,
69,0.000507284285284,9,@adrianwerner | ben affleck | @avggutsenjoyer
70,0.0006975158922654,9,@agentm  i | chadwick boseman
71,0.000507284285284,9,@khalillamarr | lewis hamilton | @sopealuko | lewishamilton https://t.co/xli9cayyhc | chadwick boseman
72,0.000507284285284,9,chadwick boseman | https://t.co/wds2pyvvj7
73,0.0005389895531142,9,@aaronnatahimik @jacksfilms chadwick boseman | @jacksfilms chadwick boseman
74,0.0004993579683264,8,@elbethium @durmanx1 | @chel_gg | superboy alpha | kon el | spider guard | ben
75,0.0006420316735625,8,@joeyquart | @adambarnhardt | zeus | @littleorpan
76,0.0004993579683264,8,patrick boseman
77,0.0004993579683264,8,
78,0.0006777000998715,8,wakanda
79,0.0004993579683264,8,chadwick boseman | @elmajoh
80,0.0006420316735625,8,poppop | @trymainelee | chadwickboseman | rip chadwick
81,0.0005706948209444,8,@marvel_ffightus | @cynicalexx
82,0.0004993579683264,8,@howardu | @dmgraymd | chadwickboseman | heres boseman
83,0.0004993579683264,8,chadwick boseman | america | stan lee | washington
84,0.0005350263946354,8,@historyofthebatman | george prez | chadwick | jack kirby | @withregram
85,0.0004993579683264,8,
86,0.0004993579683264,8,chadwick boseman | stan lee | richard harris
87,0.0004993579683264,8,@orwellngoode | stan lee
88,0.0004993579683264,8,chadwick boseman
89,0.000978333978762,7,stan lee
90,0.000489166989381,7,ford | albina w/@vanportmosaic &amp | @ppsconnect
