neg,neu,pos,compound
0.21952511160714286,0.6250172991071429,0.15544921875,-0.13627533482142856
0.22055172413793103,0.6259655172413793,0.15348275862068964,-0.15541206896551724
0.2009090909090909,0.6237272727272727,0.17536363636363636,-0.058800000000000005
0.256,0.6352857142857143,0.10871428571428572,-0.35242857142857137
0.20199999999999999,0.599375,0.198375,-0.02591250000000001
0.0,1.0,0.0,0.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
0.129,0.649,0.22249999999999998,0.32484999999999997
0.23385714285714285,0.5795714285714286,0.18685714285714286,-0.2153857142857143
0.0,0.797,0.203,0.4215
0.2425,0.539,0.21849999999999997,-0.0726
0.18214285714285713,0.5698571428571428,0.24814285714285716,0.17962857142857144
0.21925,0.5025,0.278,0.15074999999999997
0.213,0.712,0.075,-0.47145
0.21828571428571428,0.5654285714285715,0.21628571428571428,-0.053514285714285736
0.274,0.489,0.237,-0.2910666666666667
0.20475,0.6098750000000001,0.185375,-0.017650000000000013
0.21559999999999996,0.5722,0.2124,-0.07364
0.141,0.541,0.318,0.4445
0.37533333333333335,0.5843333333333333,0.04033333333333333,-0.6145333333333334
0.1786,0.585,0.2364,0.1708
0.18683333333333332,0.5884999999999999,0.22466666666666668,0.09368333333333334
0.13554545454545455,0.6465454545454545,0.218,0.2723181818181818
0.13143529411764707,0.7318588235294118,0.13668235294117648,0.0008270588235294174
0.1643,0.612,0.2238,0.14899
0.22425,0.543625,0.232125,0.11448750000000002
0.36433333333333334,0.5019999999999999,0.134,-0.7096333333333332
0.23433333333333337,0.5619999999999999,0.20383333333333334,-0.1714
0.087,0.672,0.2415,0.622
0.22075,0.6545,0.124875,-0.16938750000000002
0.16275,0.72125,0.11575,-0.25282499999999997
0.27025,0.657,0.0725,-0.42015
0.0,0.781,0.219,0.4215
0.23883333333333334,0.6581666666666667,0.103,-0.3988833333333333
0.123625,0.589,0.287375,0.4021
0.20922222222222223,0.6355555555555555,0.15533333333333332,-0.22766666666666666
0.1,0.419,0.481,0.8957
0.25857142857142856,0.5888571428571429,0.15271428571428572,-0.3157857142857143
0.2812,0.4902,0.2284,0.05896000000000001
0.231,0.5363,0.2326,0.039869999999999996
0.41800000000000004,0.381,0.201,-0.8450500000000001
0.14365,0.6454,0.21095000000000003,0.169165
0.18400000000000002,0.5630000000000001,0.25366666666666665,0.1666
0.232,0.387,0.38,0.8402
0.24132142857142855,0.5865357142857144,0.17214285714285715,-0.24132857142857142
0.19383333333333333,0.5498333333333334,0.256,0.1933
0.29155555555555557,0.5413333333333333,0.1671111111111111,-0.41675555555555555
0.1994,0.6688000000000001,0.132,-0.26349999999999996
0.24300000000000002,0.6873333333333332,0.07,-0.5053333333333333
0.27011111111111114,0.5392222222222222,0.1907777777777778,-0.14841111111111113
0.24616666666666667,0.51775,0.23608333333333334,0.04577499999999999
0.22010000000000002,0.5347,0.2452,0.07265
0.2370833333333333,0.5225833333333333,0.24033333333333332,-0.08561666666666666
0.17733333333333334,0.5863333333333334,0.23616666666666666,0.11533333333333333
0.2358,0.5439999999999999,0.2202,-0.20246
0.2036,0.5860000000000001,0.2102,-0.08016
0.19366666666666665,0.5836666666666667,0.22233333333333336,-0.007566666666666666
0.169,0.6,0.231,0.30996666666666667
0.09933333333333333,0.6876666666666666,0.21322222222222223,0.32943333333333336
0.1353888888888889,0.617,0.2477222222222222,0.3649111111111111
0.22191666666666665,0.5633333333333334,0.21483333333333335,0.024108333333333343
0.282,0.5886666666666667,0.12933333333333333,-0.4233
0.2684,0.564,0.1678,-0.34046
0.24825,0.57425,0.17775000000000002,-0.308125
0.22428571428571428,0.5812857142857143,0.1942857142857143,-0.13072857142857142
0.23458333333333334,0.5559999999999999,0.20933333333333334,-0.13454999999999998
0.1426,0.5833,0.2741,0.38689999999999997
0.16271428571428573,0.6369999999999999,0.20014285714285715,-0.0021714285714285624
0.24646153846153848,0.5245384615384615,0.22884615384615387,-0.09870000000000001
0.30575,0.631,0.063,-0.75025
0.20191176470588235,0.5913529411764706,0.20679411764705882,-0.08219411764705883
0.24093103448275863,0.5958965517241379,0.16313793103448276,-0.24883793103448276
0.25933333333333336,0.6803333333333333,0.06033333333333333,-0.5827666666666667
0.2405,0.5165,0.243,0.07349999999999998
0.15154545454545454,0.6924545454545454,0.156,-0.08475454545454546
0.17045454545454544,0.7286818181818181,0.10090909090909089,-0.14221818181818183
0.2145,0.6336666666666667,0.15166666666666667,-0.24846666666666664
0.28800000000000003,0.5325,0.17916666666666667,-0.3498666666666666
0.2905,0.512,0.19699999999999998,-0.2273333333333333
0.23766666666666666,0.5990000000000001,0.163,-0.2776666666666667
0.18716666666666668,0.6618333333333334,0.15116666666666667,-0.12680000000000002
0.2262,0.5812,0.1924,-0.06973000000000001
0.24275000000000002,0.71025,0.047,-0.534625
0.20099999999999998,0.5658888888888889,0.23333333333333334,0.06742222222222222
0.1703125,0.6306875000000001,0.199,0.11564374999999999
