Tweet_count,Username,tweet_text,Created at,Location,Followers Count,retweet_count,Favorite Count,formatted_created_at,Contains_Keyword,Original_Tweeter,mentions,retweet_id,reply_to,neg,neu,pos,compound,Community,engagement_rate,followers_per_tweet,log_engagement_rate,log_followers_per_tweet,tweet_id,tweet_type,linked_tweet_id,tweet_text_lower,content_category
502,davante,"https://t.co/j4gX1ueTmp
#ChadwickBoseman has passed away after a four-year battle with colon cancer Boseman was 43 years old",Sat Aug 29 23:17:32 +0000 2020,,3,0,1,2020-08-29 23:17:32+00:00,False,self,,Missing_Retweet_ID,,0.333,0.667,0.0,-0.7906,Other,0.3333333333333333,0.00597609561752988,0.2876820724517809,0.00595830958363063,501,original,,"https://t.co/j4gx1uetmp
#chadwickboseman has passed away after a four-year battle with colon cancer boseman was 43 years old",Chadwick Boseman
523,☁️evan☁️,"Its so sad about Chadwick Boseman, i really feel like black panther passed away in real life,  he deserves a badass funeral ",Sat Aug 29 22:11:44 +0000 2020,"Maricopa, AZ",174,2,8,2020-08-29 22:11:44+00:00,True,self,,Missing_Retweet_ID,,0.285,0.609,0.106,-0.574,Other,0.05747126436781609,0.3326959847036329,0.055880458394456586,0.287203946695601,522,original,,"its so sad about chadwick boseman, i really feel like black panther passed away in real life,  he deserves a badass funeral ",Black Panther
527,khali,"Can yall please stop disrespecting this man that passed away by only referring to him as a character?

The Black Panther is alive and well. Chadwick Boseman is the one we are trying to mourn. Have some respect for a human beings name...",Sat Aug 29 22:03:38 +0000 2020,,127,5,11,2020-08-29 22:03:38+00:00,False,self,,Missing_Retweet_ID,,0.1,0.699,0.202,0.6249,Other,0.12598425196850394,0.2409867172675522,0.118657543801316,0.2159068029158364,526,original,,"can yall please stop disrespecting this man that passed away by only referring to him as a character?

the black panther is alive and well. chadwick boseman is the one we are trying to mourn. have some respect for a human beings name...",Black Panther
546,kayla😌,Sure I cried for an hour last night just because #ChadwickBoseman passed away ,Sat Aug 29 21:11:44 +0000 2020,crying ,8,0,2,2020-08-29 21:11:44+00:00,False,self,,Missing_Retweet_ID,,0.174,0.671,0.154,-0.0772,Other,0.25,0.014652014652014652,0.22314355131420976,0.014545711002378768,545,original,,sure i cried for an hour last night just because #chadwickboseman passed away ,Chadwick Boseman
549,krs-2,"Yall dont have to tell your children Black Panther died. Theres not really a reason to tell them a beloved character who lives on through cinema and comics is dead. Chadwick Boseman, the man passed, away. Let them keep their magic.",Sat Aug 29 21:06:44 +0000 2020,Front row to see the Beets,2643,136,314,2020-08-29 21:06:44+00:00,False,self,,Missing_Retweet_ID,,0.167,0.763,0.07,-0.6808,Other,0.170261066969353,4.814207650273224,0.1572268580807804,1.7603045170601688,548,original,,"yall dont have to tell your children black panther died. theres not really a reason to tell them a beloved character who lives on through cinema and comics is dead. chadwick boseman, the man passed, away. let them keep their magic.",Black Panther
554,martine somsen ❤🎶❤️,"@AmandiOnAir He absolutely was.
I told my 9 yr old about Chadwick this morning; the fact that he passed away but was spreading love and light...working on films like Black Panther despite pain and illness. 
Her first response was: ""Mom, that makes *him* the superhero"" ",Sat Aug 29 20:54:39 +0000 2020,The Hague,124,19,276,2020-08-29 20:54:39+00:00,False,AmandiOnAir,@AmandiOnAir,Missing_Retweet_ID,AmandiOnAir,0.0,0.716,0.284,0.9476,Other,2.379032258064516,0.22382671480144403,1.2175893543171008,0.20198260119311176,553,original,,"@amandionair he absolutely was.
i told my 9 yr old about chadwick this morning; the fact that he passed away but was spreading love and light...working on films like black panther despite pain and illness. 
her first response was: ""mom, that makes *him* the superhero"" ",Black Panther
560,milky's news fashion opinions,The Original Black Panther pass away Friday night on August 28 2020 I didn't know or anybody he have Colon Cancer  in 2016 diagnose cancer first Solo movie release February 2018 make over billion dollars just sad  R I P Chadwick Boseman  #BlackPanther  #WakandaForever https://t.co/V1QSJlWUTc,Sat Aug 29 20:45:53 +0000 2020,,7,0,1,2020-08-29 20:45:53+00:00,True,self,,Missing_Retweet_ID,,0.232,0.723,0.045,-0.891,Other,0.14285714285714285,0.0125,0.13353139262452263,0.012422519998557155,559,original,,the original black panther pass away friday night on august 28 2020 i didn't know or anybody he have colon cancer  in 2016 diagnose cancer first solo movie release february 2018 make over billion dollars just sad  r i p chadwick boseman  #blackpanther  #wakandaforever https://t.co/v1qsjlwutc,Black Panther
582,anime boy 2k,Hello Everyone have you heard that Chadwick Boseman the actor who played Black Panther he passed away by colon cancer may rest in peace for the King of Wakanda Wakanda Forever  https://t.co/GXqjXfCMtZ,Sat Aug 29 20:07:34 +0000 2020,"Toronto, Ontario",8,0,1,2020-08-29 20:07:34+00:00,False,self,,Missing_Retweet_ID,,0.112,0.738,0.15,0.128,Other,0.125,0.013745704467353952,0.11778303565638346,0.013652089168327311,581,original,,hello everyone have you heard that chadwick boseman the actor who played black panther he passed away by colon cancer may rest in peace for the king of wakanda wakanda forever  https://t.co/gxqjxfcmtz,Black Panther
586,silly funtime,"the black panther, a superhero who i found fascinating. that movie was extremely dear to me at the time so its crushing to see the lead actor, who was still young and had been the face of this representative movie, pass away from something that felt so sudden",Sat Aug 29 20:03:56 +0000 2020, (he/him) read my carrd byf,61,0,4,2020-08-29 20:03:56+00:00,False,self,,Missing_Retweet_ID,,0.053,0.824,0.123,0.5595,Other,0.06557377049180328,0.10409556313993173,0.06351340572232586,0.09902650492388794,585,original,,"the black panther, a superhero who i found fascinating. that movie was extremely dear to me at the time so its crushing to see the lead actor, who was still young and had been the face of this representative movie, pass away from something that felt so sudden",Black Panther
620,rihanna🥱,"@chadwickboseman Its so sad how someone this wonderful can pass away out of the blue I was so heartbroken when I found Chadwick passed away yesterday, rest easy Chadwick Wakanda Forever  1976-2020",Sat Aug 29 18:58:58 +0000 2020,,3,0,1,2020-08-29 18:58:58+00:00,True,chadwickboseman,@chadwickboseman,Missing_Retweet_ID,chadwickboseman,0.222,0.608,0.17,-0.4952,5.0,0.3333333333333333,0.004838709677419355,0.2876820724517809,0.004827040748315904,619,original,,"@chadwickboseman its so sad how someone this wonderful can pass away out of the blue i was so heartbroken when i found chadwick passed away yesterday, rest easy chadwick wakanda forever  1976-2020",Black Panther
