Tweet_count,Username,tweet_text,Created at,Location,Followers Count,retweet_count,Favorite Count,formatted_created_at,Contains_Keyword,Original_Tweeter,mentions,retweet_id,reply_to,neg,neu,pos,compound,Community,engagement_rate,followers_per_tweet,log_engagement_rate,log_followers_per_tweet,tweet_id,tweet_type,linked_tweet_id,tweet_text_lower,content_category
1837,dennis morgan,"Sorry to hear that the actor Chadwick Boseman passed away today.  2020 really will not give us a break.  I have never met him, but he was a great actor and of course will always be Black Panther.  A few years ago my son Lex was Black Panther for Halloween.  Wakanda Forever...RIP https://t.co/abwQkZdxrU",Sat Aug 29 06:42:22 +0000 2020,"Las Vegas, NV",5,0,1,2020-08-29 06:42:22+00:00,True,self,,Missing_Retweet_ID,,0.021,0.874,0.105,0.7579,Other,0.2,0.0027218290691344584,0.18232155679395465,0.002718131600126503,1836,original,,"sorry to hear that the actor chadwick boseman passed away today.  2020 really will not give us a break.  i have never met him, but he was a great actor and of course will always be black panther.  a few years ago my son lex was black panther for halloween.  wakanda forever...rip https://t.co/abwqkzdxru",Black Panther
1859,christine uko,"Woke up to the sad news that our Black Panther  Hero @chadwickboseman passed away. What an actor and what a movie!Black Panther showed my kids  Black excellence at it's best . RIP Chad , you will be so missed.@OnikaPatrick https://t.co/1M2TwRASnI",Sat Aug 29 06:35:40 +0000 2020,,144,1,10,2020-08-29 06:35:40+00:00,True,chadwickboseman,"@chadwickboseman, @OnikaPatrick",Missing_Retweet_ID,,0.064,0.683,0.252,0.8777,5.0,0.0763888888888889,0.07746100053792361,0.07361181734324601,0.07460734794437424,1858,original,,"woke up to the sad news that our black panther  hero @chadwickboseman passed away. what an actor and what a movie!black panther showed my kids  black excellence at it's best . rip chad , you will be so missed.@onikapatrick https://t.co/1m2twrasni",Black Panther
1926,mč_äŕüñ_raιdυ,Just in - #BlackPanther star #ChadwickBoseman (43) passed away. He had been battling colon cancer for the last three years. https://t.co/ByhQ22JQe4,Sat Aug 29 06:15:25 +0000 2020,Sri Lanka,17,0,1,2020-08-29 06:15:25+00:00,False,self,,Missing_Retweet_ID,,0.265,0.735,0.0,-0.7579,Other,0.058823529411764705,0.008826583592938734,0.05715841383994861,0.008787857019369223,1925,original,,just in - #blackpanther star #chadwickboseman (43) passed away. he had been battling colon cancer for the last three years. https://t.co/byhq22jqe4,Black Panther
1944,amy 🍄,"One of the best actor Or person known for his role king T'challa   #ChadwickBoseman  passed away  but left so much memories in our heart 
    
#WakandaForever https://t.co/aj1v6k8GpG",Sat Aug 29 06:08:51 +0000 2020,Kanpur,12,0,3,2020-08-29 06:08:51+00:00,True,self,,Missing_Retweet_ID,,0.0,0.906,0.094,0.3818,Other,0.25,0.006172839506172839,0.22314355131420976,0.006153865574378258,1943,original,,"one of the best actor or person known for his role king t'challa   #chadwickboseman  passed away  but left so much memories in our heart 
    
#wakandaforever https://t.co/aj1v6k8gpg",Black Panther
1954,shubham,"The legend passed away
RIP
 #chadwickboseman
#WakandaForever https://t.co/VQzUj4v9ko",Sat Aug 29 06:06:20 +0000 2020,"Kullu and Manali, India",29,0,2,2020-08-29 06:06:20+00:00,True,self,,Missing_Retweet_ID,,0.0,1.0,0.0,0.0,Other,0.06896551724137931,0.014841351074718526,0.06669137449867223,0.014732295917067928,1953,original,,"the legend passed away
rip
 #chadwickboseman
#wakandaforever https://t.co/vqzuj4v9ko",Black Panther
1974,pass n fly records,"RIP CHADWICK BOSEMAN

It is unfortunate to announce that Black Panther &amp; Da 5 Bloods star, @chadwickboseman has passed away after a 4 year long fight with colon cancer.

Condolences and wishes of peace go out to his https://t.co/0W58nLEx0E",Sat Aug 29 05:53:24 +0000 2020,,7,0,1,2020-08-29 05:53:24+00:00,True,chadwickboseman,@chadwickboseman,Missing_Retweet_ID,,0.217,0.672,0.111,-0.7096,5.0,0.14285714285714285,0.0035460992907801418,0.13353139262452263,0.003539826705124037,2018,original,,"rip chadwick boseman

it is unfortunate to announce that black panther &amp; da 5 bloods star, @chadwickboseman has passed away after a 4 year long fight with colon cancer.

condolences and wishes of peace go out to his https://t.co/0w58nlex0e",Black Panther
2005,avengers - earth’s mightiest heroes,"Chadwick Boseman has passed away at the age of 43, after battling colon cancer for several years. The things we never know, never see, what people are going through, until it's often too late. He's will always be remembered as the iBlank Panther and the ""Wakanda Forever"" saying. https://t.co/hL0fOlWUyS",Sat Aug 29 05:48:02 +0000 2020,,1114,496,1494,2020-08-29 05:48:02+00:00,False,self,,Missing_Retweet_ID,,0.121,0.879,0.0,-0.7579,Other,1.7863554757630162,0.5556109725685785,1.02473446081588,0.44186837686713365,2049,original,,"chadwick boseman has passed away at the age of 43, after battling colon cancer for several years. the things we never know, never see, what people are going through, until it's often too late. he's will always be remembered as the iblank panther and the ""wakanda forever"" saying. https://t.co/hl0folwuys",Black Panther
2022,rebecca,"@ChrisEvans I do apologize for your friends loss, Chadwick Boseman was a good guy after battling for colon cancer, I was so shocked when I just heard he passed away from that.Tbh I haven't really seen the rest of Black Panther but I'd watch it to remember him by. I hope y'all feel better.",Sat Aug 29 05:43:00 +0000 2020,,36,0,5,2020-08-29 05:43:00+00:00,False,ChrisEvans,@ChrisEvans,Missing_Retweet_ID,ChrisEvans,0.129,0.654,0.216,0.7354,33.0,0.1388888888888889,0.017804154302670624,0.1300531282481978,0.017647516813578193,2066,original,,"@chrisevans i do apologize for your friends loss, chadwick boseman was a good guy after battling for colon cancer, i was so shocked when i just heard he passed away from that.tbh i haven't really seen the rest of black panther but i'd watch it to remember him by. i hope y'all feel better.",Black Panther
2034,vishal khandagale,"In my culture Death is not the End ..!
Black Panther...

Extremely shocked to hear this
Chadwick Boseman passed away after a four year battle with colon cancer...!
May you rest in Power, KingSmiling face with halo

#BlackPanther 
#WakandaForever https://t.co/oq2i9qiqfJ",Sat Aug 29 05:40:03 +0000 2020,Ahmednagar,8,0,1,2020-08-29 05:40:03+00:00,True,self,,Missing_Retweet_ID,,0.212,0.788,0.0,-0.865,Other,0.125,0.003933136676499509,0.11778303565638346,0.003925422116105605,2078,original,,"in my culture death is not the end ..!
black panther...

extremely shocked to hear this
chadwick boseman passed away after a four year battle with colon cancer...!
may you rest in power, kingsmiling face with halo

#blackpanther 
#wakandaforever https://t.co/oq2i9qiqfj",Black Panther
2041,just daniel,"So a human being has passed away and the first thing on y'all mind is ""Damn so no black panther 2"" that's disgusting and disrespectful on so many levels",Sat Aug 29 05:36:24 +0000 2020,,25,1,3,2020-08-29 05:36:24+00:00,False,self,,Missing_Retweet_ID,,0.264,0.736,0.0,-0.8388,Other,0.16,0.01224889759921607,0.1484200051182733,0.012174486869739062,2085,original,,"so a human being has passed away and the first thing on y'all mind is ""damn so no black panther 2"" that's disgusting and disrespectful on so many levels",Black Panther
2060,afroblk,"Our prayers and condolences go out to @chadwickboseman family! It Its unfortunate,Chad passed away after a 4 year battle with colon cancer! #Wakanda #chadwickboseman #myafroblack https://t.co/dYQa1h6Niz",Sat Aug 29 05:29:23 +0000 2020,"Charlotte, NC",6,1,0,2020-08-29 05:29:23+00:00,False,chadwickboseman,@chadwickboseman,Missing_Retweet_ID,,0.256,0.744,0.0,-0.8217,5.0,0.16666666666666666,0.002912621359223301,0.15415067982725827,0.0029083878959570916,2104,original,,"our prayers and condolences go out to @chadwickboseman family! it its unfortunate,chad passed away after a 4 year battle with colon cancer! #wakanda #chadwickboseman #myafroblack https://t.co/dyqa1h6niz",Black Panther
2096,roseheartsarts,I've kept my ticket the first time I saw black panther. It was a special moment in my life and to hear Chadwick pass away is a tough one. Thank Chadwick for the memories #chadwickboseman #Wakanda #WakandaForever #BlackPanther #ripchadwickboseman.......Thank you! https://t.co/cbhjcsgqDR,Sat Aug 29 05:15:15 +0000 2020,,36,2,9,2020-08-29 05:15:15+00:00,True,self,,Missing_Retweet_ID,,0.036,0.833,0.131,0.6114,Other,0.3055555555555556,0.01717557251908397,0.26662866325394863,0.01702973984480238,2140,original,,i've kept my ticket the first time i saw black panther. it was a special moment in my life and to hear chadwick pass away is a tough one. thank chadwick for the memories #chadwickboseman #wakanda #wakandaforever #blackpanther #ripchadwickboseman.......thank you! https://t.co/cbhjcsgqdr,Black Panther
2107,nemesis,"@Xbox Rest In Peace my absolute marvel legend and actor in general so sad to see my favorite character and actor in marvel pass away This year is the worst for real.

Wakanda forever 
Rip Chad wick boseman 

Every person who leave a hate comment is really stupid and an awful person. https://t.co/5tsLUR8Msm",Sat Aug 29 05:13:14 +0000 2020,,11,0,4,2020-08-29 05:13:14+00:00,True,Xbox,@Xbox,Missing_Retweet_ID,Xbox,0.267,0.569,0.164,-0.8217,22.0,0.36363636363636365,0.005220692928334125,0.31015492830383956,0.005207112357162735,2151,original,,"@xbox rest in peace my absolute marvel legend and actor in general so sad to see my favorite character and actor in marvel pass away this year is the worst for real.

wakanda forever 
rip chad wick boseman 

every person who leave a hate comment is really stupid and an awful person. https://t.co/5tslur8msm",Marvel
2134,tylor fisk,"Dude. Chadwick Boseman, the man who brought Black Panther to life, just passed away from colon cancer... My son looked up to him so much. #FuckCancer #RestInPeace",Sat Aug 29 05:05:44 +0000 2020,,16,0,2,2020-08-29 05:05:44+00:00,False,self,,Missing_Retweet_ID,,0.0,1.0,0.0,0.0,Other,0.125,0.007497656982193065,0.11778303565638346,0.007469689260009807,2178,original,,"dude. chadwick boseman, the man who brought black panther to life, just passed away from colon cancer... my son looked up to him so much. #fuckcancer #restinpeace",Black Panther
2140,just_a _person,damn he really did pass away God damn.. Rip boseman wakanda forever!,Sat Aug 29 05:03:55 +0000 2020,,17,0,1,2020-08-29 05:03:55+00:00,True,self,,Missing_Retweet_ID,,0.198,0.663,0.139,-0.2244,Other,0.058823529411764705,0.00794392523364486,0.05715841383994861,0.007912538373259214,2184,original,,damn he really did pass away god damn.. rip boseman wakanda forever!,Black Panther
2148,the outsiders podcast,"Our prayers go out to Chadwick Bozemans family after he passed away today from a four year battle with colon cancer. He was a follower of Christ. And for African Americans his role as Black Panther was more than just a character, it was symbol of black pride and power. https://t.co/UaNISQFBD1",Sat Aug 29 05:01:02 +0000 2020,,15,3,2,2020-08-29 05:01:02+00:00,False,self,,Missing_Retweet_ID,,0.129,0.827,0.044,-0.6808,Other,0.3333333333333333,0.006983240223463687,0.2876820724517809,0.00695897032430346,2192,original,,"our prayers go out to chadwick bozemans family after he passed away today from a four year battle with colon cancer. he was a follower of christ. and for african americans his role as black panther was more than just a character, it was symbol of black pride and power. https://t.co/uanisqfbd1",Black Panther
2149,bendyboy,This year is getting worse the actor for black panther passed away rest In pecs,Sat Aug 29 05:00:59 +0000 2020,,7,0,1,2020-08-29 05:00:59+00:00,False,self,,Missing_Retweet_ID,,0.181,0.819,0.0,-0.4767,Other,0.14285714285714285,0.003257328990228013,0.13353139262452263,0.0032520353863773146,2193,original,,this year is getting worse the actor for black panther passed away rest in pecs,Black Panther
2154,mayank choudhary,"Deeply saddened to learn that Actor Chadwick Boseman, the man who brought Black Panther to life, passed away today.

RIP King T'Challa 
#WakandaForever
#ChadwickForever  https://t.co/46aIJueXXI",Sat Aug 29 04:59:08 +0000 2020,"Saharanpur, India",88,0,5,2020-08-29 04:59:08+00:00,True,self,,Missing_Retweet_ID,,0.133,0.867,0.0,-0.5709,Other,0.056818181818181816,0.04085422469823584,0.055262678675049456,0.040041745915771344,2198,original,,"deeply saddened to learn that actor chadwick boseman, the man who brought black panther to life, passed away today.

rip king t'challa 
#wakandaforever
#chadwickforever  https://t.co/46aijuexxi",Black Panther
2223,yikes,"You guys, Chadwick Boseman just passed away  like THE BLACK PANTHER just passed away ",Sat Aug 29 04:42:00 +0000 2020,"North East, England",53,0,3,2020-08-29 04:42:00+00:00,False,self,,Missing_Retweet_ID,,0.0,0.839,0.161,0.3612,Other,0.05660377358490566,0.02384165542060279,0.0550597771830274,0.02356188128202496,2267,original,,"you guys, chadwick boseman just passed away  like the black panther just passed away ",Black Panther
2232,rhi ):),"I can't believe he passed away. R.I.P
WAKANDA FOREVER!  

At this point I'm done with 2020.",Sat Aug 29 04:40:01 +0000 2020,Laoag City,261,2,13,2020-08-29 04:40:01+00:00,False,self,,Missing_Retweet_ID,,0.0,1.0,0.0,0.0,Other,0.05747126436781609,0.11693548387096774,0.055880458394456586,0.11058876002235632,2276,original,,"i can't believe he passed away. r.i.p
wakanda forever!  

at this point i'm done with 2020.",Black Panther
2249,moreinfo2u,"Marvel's Black Panther passed away at 43 
.
.
.
.
.

.

#blackpanther #marvel #avengers #ironman #spiderman #captainamerica #thor #blackwidow #mcu #hulk #wakandaforever #marvelcomics #avengersendgame https://t.co/IEnY8uAk5b",Sat Aug 29 04:36:46 +0000 2020,,3,0,1,2020-08-29 04:36:46+00:00,True,self,,Missing_Retweet_ID,,0.0,1.0,0.0,0.0,Other,0.3333333333333333,0.0013339261894175188,0.2876820724517809,0.0013330373002653176,2293,original,,"marvel's black panther passed away at 43 
.
.
.
.
.

.

#blackpanther #marvel #avengers #ironman #spiderman #captainamerica #thor #blackwidow #mcu #hulk #wakandaforever #marvelcomics #avengersendgame https://t.co/ieny8uak5b",Marvel
2259,kaleem,"Chadwick Boseman aka Black Panther in Marvel movies sadly passed away aged only 43 . Died of colon cancer.
#WakandaForever 
#2020istheworst https://t.co/py5n7psmCB",Sat Aug 29 04:33:12 +0000 2020,Sahiwal/Faisalabad | Pakistan,73,1,5,2020-08-29 04:33:12+00:00,True,self,,Missing_Retweet_ID,,0.353,0.556,0.092,-0.8402,Other,0.0821917808219178,0.03231518370960602,0.07898841131863035,0.031804031002379725,2303,original,,"chadwick boseman aka black panther in marvel movies sadly passed away aged only 43 . died of colon cancer.
#wakandaforever 
#2020istheworst https://t.co/py5n7psmcb",Marvel
2271,one love,Surrounded by love..  The Black Panther star passed away on Friday at his home in Los Angeles surrounded by his wife Taylor Simone Ledward and other family members.. https://t.co/eynCsawP2W,Sat Aug 29 04:28:59 +0000 2020,,221,1,15,2020-08-29 04:28:59+00:00,False,self,,Missing_Retweet_ID,,0.0,1.0,0.0,0.0,Other,0.07239819004524888,0.09731395860854249,0.06989743961737838,0.09286533780178528,2315,original,,surrounded by love..  the black panther star passed away on friday at his home in los angeles surrounded by his wife taylor simone ledward and other family members.. https://t.co/eyncsawp2w,Black Panther
2285,brandon combs,I am sad to say that @chadwickboseman haze passed away at the age of 43 from colon cancer which he has been fighting for 4 long years and has sadly lost you will be missed Wakanda Forever https://t.co/4a25F0BBJN,Sat Aug 29 04:26:20 +0000 2020,,2,0,1,2020-08-29 04:26:20+00:00,True,chadwickboseman,@chadwickboseman,Missing_Retweet_ID,,0.366,0.634,0.0,-0.946,5.0,0.5,0.00087527352297593,0.4054651081081644,0.0008748906944760658,2329,original,,i am sad to say that @chadwickboseman haze passed away at the age of 43 from colon cancer which he has been fighting for 4 long years and has sadly lost you will be missed wakanda forever https://t.co/4a25f0bbjn,Black Panther
2298,bee,"I told Ezra black panther passed away and went to heaven with Jesus. He was so sad. He asked Jesus please protect him the same as he protects wakanda

I nearly lost it.",Sat Aug 29 04:23:41 +0000 2020,"Chula Vista, CA",192,3,47,2020-08-29 04:23:41+00:00,True,self,,Missing_Retweet_ID,,0.151,0.598,0.251,0.4954,Other,0.2604166666666667,0.0835509138381201,0.23144235412890485,0.08024353105005232,2342,original,,"i told ezra black panther passed away and went to heaven with jesus. he was so sad. he asked jesus please protect him the same as he protects wakanda

i nearly lost it.",Black Panther
2303,ben reilly,"@RAZ0RFIST He passed away on Jack Kirby's 103rd birthday too, the day Jack's grandson posted an old concept sketch of Black Panther. Weird 6 degrees. RIP to a true warrior.",Sat Aug 29 04:23:13 +0000 2020,,225,3,56,2020-08-29 04:23:13+00:00,True,RAZ0RFIST,@RAZ0RFIST,Missing_Retweet_ID,RAZ0RFIST,0.056,0.852,0.092,0.2732,Other,0.26222222222222225,0.09769865392965697,0.23287383595678593,0.09321585544606285,2347,original,,"@raz0rfist he passed away on jack kirby's 103rd birthday too, the day jack's grandson posted an old concept sketch of black panther. weird 6 degrees. rip to a true warrior.",Black Panther
2341,a houston,@MayaRupert What's so crazy is my kids were watching Black Panther earlier this evening like around 5pm before the news of his passing came out. They went to bed not even knowing he passed away. I guess I will tell them in the morning.,Sat Aug 29 04:16:58 +0000 2020,"ÜT: 34.791746,-106.770237",66,0,12,2020-08-29 04:16:58+00:00,False,MayaRupert,@MayaRupert,Missing_Retweet_ID,MayaRupert,0.068,0.877,0.055,-0.1571,Other,0.18181818181818182,0.028193079880392994,0.16705408466316618,0.027802970292161184,2385,original,,@mayarupert what's so crazy is my kids were watching black panther earlier this evening like around 5pm before the news of his passing came out. they went to bed not even knowing he passed away. i guess i will tell them in the morning.,Black Panther
2378,j j martian,@Zytek_Gaming @RealShiina Actor of black panther passed away,Sat Aug 29 04:11:02 +0000 2020,"Mos Eisley Cantina, Tatooine.",16,0,1,2020-08-29 04:11:02+00:00,False,Zytek_Gaming,"@Zytek_Gaming, @RealShiina",Missing_Retweet_ID,Zytek_Gaming,0.0,1.0,0.0,0.0,Other,0.0625,0.00672834314550042,0.06062462181643484,0.006705808867191317,2422,original,,@zytek_gaming @realshiina actor of black panther passed away,Black Panther
2384,anime fan helper 🏴‍☠️,"Breaking News: Marvel's Black Panther star Chadwick Boseman. Has sadly passed away at age 43 after a 4-year battle with colon cancer. The world has lost a icon. Our hearts go out to his family. You will be missed.
 #Blackpanter #chadwick #ChadwickBosemanForever #Disney #marvel https://t.co/gU1zIVI6IH",Sat Aug 29 04:10:19 +0000 2020,,22,1,2,2020-08-29 04:10:19+00:00,True,self,,Missing_Retweet_ID,,0.273,0.727,0.0,-0.9231,Other,0.13636363636363635,0.009228187919463088,0.1278333715098849,0.009185868349383808,2428,original,,"breaking news: marvel's black panther star chadwick boseman. has sadly passed away at age 43 after a 4-year battle with colon cancer. the world has lost a icon. our hearts go out to his family. you will be missed.
 #blackpanter #chadwick #chadwickbosemanforever #disney #marvel https://t.co/gu1zivi6ih",Marvel
2413,milq,"It is extremely saddening to report that actor Chadwick Boseman best know for his role in Black Panther has passed away at age 43 of colon cancer. Strong and selfless, he brought us so much joy through his films. Rest in peace and in power to a true legend  https://t.co/AtIzgvm9iR",Sat Aug 29 04:05:32 +0000 2020,LA,21,1,1,2020-08-29 04:05:32+00:00,True,self,,Missing_Retweet_ID,,0.116,0.62,0.264,0.8746,Other,0.09523809523809523,0.00870285951098218,0.09097177820572669,0.00866520792244075,2457,original,,"it is extremely saddening to report that actor chadwick boseman best know for his role in black panther has passed away at age 43 of colon cancer. strong and selfless, he brought us so much joy through his films. rest in peace and in power to a true legend  https://t.co/atizgvm9ir",Black Panther
2435,thebestestvids,"BREAKING: Black Panther star, Chadwick Boseman, passed away at 43 following a 4-year private battle with colon cancer.

Wakanda salute to King TChalla!
Rest in peace.

#wakandaforever #ripchadwickboseman https://t.co/0x4is6mtVs",Sat Aug 29 04:02:16 +0000 2020,,2,9,21,2020-08-29 04:02:16+00:00,True,self,,Missing_Retweet_ID,,0.204,0.698,0.098,-0.5848,Other,15.0,0.0008213552361396304,2.772588722239781,0.0008210181085160596,2479,original,,"breaking: black panther star, chadwick boseman, passed away at 43 following a 4-year private battle with colon cancer.

wakanda salute to king tchalla!
rest in peace.

#wakandaforever #ripchadwickboseman https://t.co/0x4is6mtvs",Black Panther
2463,ella driksna,"I cant believe Chadwick Boseman (Black panther) just passed away from Colon cancer. This is the saddest news I heard the week. 2020 sucks so much. I send all my prayers to his family and friends. 
#chadwick",Sat Aug 29 03:58:39 +0000 2020,,2,0,1,2020-08-29 03:58:39+00:00,True,self,,Missing_Retweet_ID,,0.248,0.682,0.07,-0.8316,Other,0.5,0.0008120178643930166,0.4054651081081644,0.0008116883562525691,2507,original,,"i cant believe chadwick boseman (black panther) just passed away from colon cancer. this is the saddest news i heard the week. 2020 sucks so much. i send all my prayers to his family and friends. 
#chadwick",Black Panther
2517,i have so many questions?,"He just passed away and yall already talking about make Shuri the new Black Panther right now when Black Panther 2 isnt even expected to be released until 2022, maybe. Why is that even peoples focus right now. Show some fucking respect and compassion. https://t.co/tg7uLnbR0L",Sat Aug 29 03:51:45 +0000 2020,USA,13545,118,722,2020-08-29 03:51:45+00:00,False,self,,Missing_Retweet_ID,,0.0,0.863,0.137,0.7688,Other,0.06201550387596899,5.381406436233611,0.0601685214664528,1.8533885176130915,2561,original,,"he just passed away and yall already talking about make shuri the new black panther right now when black panther 2 isnt even expected to be released until 2022, maybe. why is that even peoples focus right now. show some fucking respect and compassion. https://t.co/tg7ulnbr0l",Black Panther
2557,🍪cookie burke🍪,"@Bakari_Sellers Tomorrow, Im watching them all:  Black Panther; 42;  Get Up - the last movie my Mother and I watched together before she passed away with Stage IV pancreatic cancer- Marshall; Infinity Wars, EndGame; Captain America...all of them.  Straight marathon.",Sat Aug 29 03:46:10 +0000 2020,From my heart and mind,117,0,38,2020-08-29 03:46:10+00:00,False,Bakari_Sellers,@Bakari_Sellers,Missing_Retweet_ID,Bakari_Sellers,0.178,0.78,0.042,-0.7964,34.0,0.3247863247863248,0.04575674618693782,0.28125118212149053,0.04474078237070187,2601,original,,"@bakari_sellers tomorrow, im watching them all:  black panther; 42;  get up - the last movie my mother and i watched together before she passed away with stage iv pancreatic cancer- marshall; infinity wars, endgame; captain america...all of them.  straight marathon.",Black Panther
2602,knives,So chadwick boseman passed away. If you care more about black panther 2 than his life you can kindly fuck off.,Sat Aug 29 03:40:58 +0000 2020,hanging out with Godzilla,381,7,49,2020-08-29 03:40:58+00:00,False,self,,Missing_Retweet_ID,,0.13,0.632,0.238,0.4404,Other,0.14698162729658792,0.14642582628747117,0.13713381996888918,0.13664912544229793,2646,original,,so chadwick boseman passed away. if you care more about black panther 2 than his life you can kindly fuck off.,Black Panther
2624,(d)aily (b)idness (f)eed,... On #42Day Mr. 42 himself passed away at age 43. Wow to the timing! Wow to the GREAT life gone! We will miss you LEGEND! You will live on... #ChadwickBoseman . https://t.co/LD4blZHN6s,Sat Aug 29 03:37:50 +0000 2020,Facebook: DailyBidness Feed,53,5,9,2020-08-29 03:37:50+00:00,False,self,,Missing_Retweet_ID,,0.037,0.653,0.31,0.9288,Other,0.2641509433962264,0.020198170731707318,0.23440070583884423,0.019996893456372847,2668,original,,... on #42day mr. 42 himself passed away at age 43. wow to the timing! wow to the great life gone! we will miss you legend! you will live on... #chadwickboseman . https://t.co/ld4blzhn6s,Chadwick Boseman
2625,427emerald,"You know, the world can be full of surprises. Some good, some bad. That even includes taking the lives of those we care about. Chadwick Boseman, known best for playing Black Panther, has unfortunately passed away at the age of 43. And thus I can now say....Wakanda Forever... https://t.co/TKwxwuucXT",Sat Aug 29 03:37:28 +0000 2020,,15,0,2,2020-08-29 03:37:28+00:00,False,self,,Missing_Retweet_ID,,0.097,0.673,0.23,0.7964,Other,0.13333333333333333,0.005714285714285714,0.12516314295400602,0.005698021114637727,2669,original,,"you know, the world can be full of surprises. some good, some bad. that even includes taking the lives of those we care about. chadwick boseman, known best for playing black panther, has unfortunately passed away at the age of 43. and thus i can now say....wakanda forever... https://t.co/tkwxwuucxt",Black Panther
2626,brookie,"@283Sprinkles @MacDoesIt Chadwick Boseman (actor in Black Panther, 42, and many other influential movies) has passed away due to a 4 year battle loss with colon cancer",Sat Aug 29 03:37:26 +0000 2020,"Madison, CT",45,0,3,2020-08-29 03:37:26+00:00,False,283Sprinkles,"@283Sprinkles, @MacDoesIt",Missing_Retweet_ID,283Sprinkles,0.28,0.633,0.087,-0.7506,Other,0.06666666666666667,0.017136329017517136,0.06453852113757118,0.016991158247219373,2670,original,,"@283sprinkles @macdoesit chadwick boseman (actor in black panther, 42, and many other influential movies) has passed away due to a 4 year battle loss with colon cancer",Black Panther
2653,amir,"Here #ChadwickBoseman starts crying talking about two cancer-stricken kids who were excited about the black panther coming out
Unfortunately he reveals the two boys had passed away before seeing the film and how that motivated him
LEGEND
#Ripchadwickboseman #WakandaForever https://t.co/xyjRiWEPSG",Sat Aug 29 03:35:07 +0000 2020,,123,352,1026,2020-08-29 03:35:07+00:00,True,self,,Missing_Retweet_ID,,0.117,0.768,0.115,-0.0258,Other,11.203252032520325,0.046362608367885416,2.5017024762610443,0.04531996748895547,2697,original,,"here #chadwickboseman starts crying talking about two cancer-stricken kids who were excited about the black panther coming out
unfortunately he reveals the two boys had passed away before seeing the film and how that motivated him
legend
#ripchadwickboseman #wakandaforever https://t.co/xyjriwepsg",Black Panther
2660,mackenzie🫰,Rest In Peace @chadwickboseman I almost cried when I heard you passed away you were such a great soul taken way to soon praying for his loved ones Im so so sorry for your guys loss #WakandaForever #chadwickboseman https://t.co/25rMnOBuMK,Sat Aug 29 03:34:43 +0000 2020,,17,0,2,2020-08-29 03:34:43+00:00,True,chadwickboseman,@chadwickboseman,Missing_Retweet_ID,,0.135,0.584,0.282,0.852,5.0,0.11764705882352941,0.006390977443609023,0.11122563511022437,0.006370641744607749,2704,original,,rest in peace @chadwickboseman i almost cried when i heard you passed away you were such a great soul taken way to soon praying for his loved ones im so so sorry for your guys loss #wakandaforever #chadwickboseman https://t.co/25rmnobumk,Black Panther
2670,thepopculturedude (daniel),"@ChrisEvans RIP to a talented actor and human being
It's pretty tragic he passed away
Especially when he enter the role as Black Panther 
He became an icon to many Generations and had so much potential to continue the legacy with that role
But now it's all over sadly
God Bless him https://t.co/ix8qw2NjIj",Sat Aug 29 03:33:39 +0000 2020,"Florida, USA",2584,4,160,2020-08-29 03:33:39+00:00,True,ChrisEvans,@ChrisEvans,Missing_Retweet_ID,ChrisEvans,0.091,0.738,0.17,0.5994,33.0,0.06346749226006192,0.9677902621722847,0.06153478843974749,0.67691121885119,2714,original,,"@chrisevans rip to a talented actor and human being
it's pretty tragic he passed away
especially when he enter the role as black panther 
he became an icon to many generations and had so much potential to continue the legacy with that role
but now it's all over sadly
god bless him https://t.co/ix8qw2njij",Black Panther
2725,salamence plush,"Chadwick Boseman passed away today.He played Black Panther on the MCU and fan favorite for many people,
Rest In Peace.#chadwickboseman https://t.co/FvLHdvZfA7",Sat Aug 29 03:29:00 +0000 2020,"Texas, USA",23,1,3,2020-08-29 03:29:00+00:00,False,self,,Missing_Retweet_ID,,0.0,0.7,0.3,0.7717,Other,0.17391304347826086,0.008440366972477064,0.16034265007517937,0.008404946244895508,2769,original,,"chadwick boseman passed away today.he played black panther on the mcu and fan favorite for many people,
rest in peace.#chadwickboseman https://t.co/fvlhdvzfa7",Black Panther
2727,muhammad zulfan ramadhan,"""Today has truly Been a sad day..Chadwick Boseman has passed away at the age of 43 after reportedly having Been battling colon cancer for 4 years..He took his last breath in his home,with his wife and family by my side..""
#ripchadwickboseman #chadwickboseman #Wakanda https://t.co/VQW4yeY6ld",Sat Aug 29 03:28:52 +0000 2020,"Bekasi, Jawa Barat",38,1,5,2020-08-29 03:28:52+00:00,True,self,,Missing_Retweet_ID,,0.19,0.752,0.057,-0.7717,Other,0.15789473684210525,0.013934726806013934,0.1466034741918754,0.013838531110846649,2771,original,,"""today has truly been a sad day..chadwick boseman has passed away at the age of 43 after reportedly having been battling colon cancer for 4 years..he took his last breath in his home,with his wife and family by my side..""
#ripchadwickboseman #chadwickboseman #wakanda https://t.co/vqw4yey6ld",Black Panther
2752,hae!hae!!:3,"Im so sad, Chadwick from black panther and 42 movie passed away today:( like hes such a great actor too rest easy Chadwick",Sat Aug 29 03:27:42 +0000 2020,daydreaming,60,0,4,2020-08-29 03:27:42+00:00,True,self,,Missing_Retweet_ID,,0.11,0.583,0.308,0.7275,Other,0.06666666666666667,0.02180232558139535,0.06453852113757118,0.021568053877321244,2796,original,,"im so sad, chadwick from black panther and 42 movie passed away today:( like hes such a great actor too rest easy chadwick",Black Panther
