formatted_created_at,neg,neu,pos,compound
2020-08-30 16:20:00,0.23,0.554,0.216,-0.1318
2020-08-30 15:02:00,0.0,0.903,0.097,0.4767
2020-08-30 14:57:00,0.157,0.707,0.136,-0.1027
2020-08-30 14:29:00,0.122,0.78,0.098,-0.1911
2020-08-30 14:16:00,0.312,0.497,0.191,-0.5574
2020-08-30 14:16:00,0.329,0.47,0.202,-0.5574
2020-08-30 13:52:00,0.204,0.463,0.333,0.4215
2020-08-30 13:52:00,0.163,0.63,0.207,0.0516
2020-08-30 13:25:00,0.279,0.515,0.206,-0.4019
2020-08-30 13:00:00,0.306,0.694,0.0,-0.6597
2020-08-30 12:54:00,0.241,0.759,0.0,-0.5859
2020-08-30 12:43:00,0.422,0.49,0.089,-0.8973
2020-08-30 12:36:00,0.0,0.774,0.226,0.5859
2020-08-30 11:11:00,0.523,0.477,0.0,-0.9623
2020-08-30 10:11:00,0.0,0.736,0.264,0.7269
2020-08-30 09:57:00,0.0,1.0,0.0,0.0
2020-08-30 09:35:00,0.184,0.395,0.421,0.5574
2020-08-30 09:26:00,0.238,0.462,0.3,0.2263
2020-08-30 09:12:00,0.262,0.738,0.0,-0.5994
2020-08-30 08:57:00,0.262,0.738,0.0,-0.5994
2020-08-30 08:34:00,0.0,1.0,0.0,0.0
2020-08-30 08:17:00,0.0,0.846,0.154,0.3724
2020-08-30 08:13:00,0.294,0.543,0.163,-0.4404
2020-08-30 07:53:00,0.439,0.293,0.268,-0.6038
2020-08-30 07:47:00,0.449,0.352,0.199,-0.7506
2020-08-30 07:30:00,0.468,0.532,0.0,-0.6597
2020-08-30 07:30:00,0.468,0.532,0.0,-0.6597
2020-08-30 07:26:00,0.412,0.588,0.0,-0.7906
2020-08-30 07:11:00,0.517,0.377,0.106,-0.8979
2020-08-30 06:47:00,0.25,0.3,0.45,0.7184
2020-08-30 06:47:00,0.226,0.774,0.0,-0.7906
2020-08-30 06:14:00,0.124,0.265,0.61,0.9823
2020-08-30 05:40:00,0.24,0.543,0.217,-0.0772
2020-08-30 05:10:00,0.084,0.786,0.13,0.1779
2020-08-30 05:02:00,0.143,0.553,0.304,0.3612
2020-08-30 04:46:00,0.0,1.0,0.0,0.0
2020-08-30 04:34:00,0.317,0.512,0.171,-0.3472
2020-08-30 04:32:00,0.502,0.498,0.0,-0.8779
2020-08-30 04:25:00,0.171,0.663,0.166,-0.0258
2020-08-30 04:16:00,0.12,0.659,0.221,0.3818
2020-08-30 04:14:00,0.311,0.451,0.238,-0.4404
2020-08-30 04:07:00,0.444,0.556,0.0,-0.9246
2020-08-30 04:01:00,0.0,0.577,0.423,0.8313
2020-08-30 03:54:00,0.169,0.58,0.251,0.4588
2020-08-30 03:52:00,0.293,0.707,0.0,-0.7003
2020-08-30 03:48:00,0.096,0.687,0.216,0.5423
2020-08-30 03:43:00,0.0,0.757,0.243,0.7269
2020-08-30 03:17:00,0.0,1.0,0.0,0.0
2020-08-30 03:07:00,0.459,0.439,0.102,-0.8074
2020-08-30 03:06:00,0.079,0.708,0.212,0.5719
2020-08-30 02:48:00,0.0,0.613,0.387,0.743
2020-08-30 02:38:00,0.0,1.0,0.0,0.0
2020-08-30 02:23:00,0.086,0.815,0.099,0.0772
2020-08-30 02:18:00,0.086,0.815,0.099,0.0772
2020-08-30 02:17:00,0.2,0.574,0.226,0.1868
2020-08-30 01:50:00,0.114,0.886,0.0,-0.4767
2020-08-30 01:46:00,0.198,0.709,0.093,-0.4215
2020-08-30 01:42:00,0.093,0.607,0.3,0.6249
2020-08-30 01:35:00,0.0,1.0,0.0,0.0
2020-08-30 01:34:00,0.0,1.0,0.0,0.0
2020-08-30 01:30:00,0.437,0.563,0.0,-0.4767
2020-08-30 01:26:00,0.263,0.511,0.226,-0.25
2020-08-30 01:24:00,0.316,0.526,0.158,-0.5106
2020-08-30 01:18:00,0.119,0.698,0.183,0.296
2020-08-30 00:59:00,0.233,0.683,0.084,-0.5719
2020-08-30 00:34:00,0.486,0.42,0.094,-0.9042
2020-08-30 00:16:00,0.395,0.421,0.184,-0.6124
2020-08-30 00:09:00,0.235,0.675,0.09,-0.5423
2020-08-30 00:06:00,0.0,0.916,0.084,0.3182
2020-08-30 00:03:00,0.252,0.584,0.165,-0.4468
2020-08-29 23:59:00,0.268,0.732,0.0,-0.6597
2020-08-29 23:48:00,0.119,0.619,0.263,0.4215
2020-08-29 23:34:00,0.16,0.525,0.315,0.6808
2020-08-29 23:33:00,0.138,0.4,0.462,0.8074
2020-08-29 23:32:00,0.108,0.423,0.469,0.8555
2020-08-29 23:30:00,0.374,0.374,0.252,-0.5574
2020-08-29 23:08:00,0.0,1.0,0.0,0.0
2020-08-29 23:04:00,0.136,0.767,0.098,-0.2732
2020-08-29 22:53:00,0.1,0.512,0.388,0.8934
2020-08-29 22:42:00,0.404,0.596,0.0,-0.8159
2020-08-29 22:39:00,0.363,0.438,0.199,-0.6086
2020-08-29 22:35:00,0.167,0.548,0.286,0.6124
2020-08-29 22:31:00,0.164,0.702,0.135,-0.128
2020-08-29 22:15:00,0.384,0.398,0.218,-0.8539
2020-08-29 22:12:00,0.251,0.462,0.287,0.34
2020-08-29 22:11:00,0.343,0.524,0.132,-0.5302
2020-08-29 22:03:00,0.268,0.732,0.0,-0.6597
2020-08-29 22:01:00,0.113,0.887,0.0,-0.3182
2020-08-29 21:58:00,0.191,0.578,0.231,0.3832
2020-08-29 21:48:00,0.053,0.671,0.276,0.8533
2020-08-29 21:45:00,0.094,0.638,0.268,0.6249
2020-08-29 21:33:00,0.263,0.508,0.229,-0.1027
2020-08-29 21:28:00,0.128,0.663,0.209,0.3818
2020-08-29 21:10:00,0.083,0.618,0.298,0.7906
2020-08-29 21:09:00,0.224,0.559,0.217,0.2023
2020-08-29 21:05:00,0.142,0.55,0.307,0.5574
2020-08-29 20:54:00,0.0,0.497,0.503,0.9451
2020-08-29 20:45:00,0.296,0.647,0.057,-0.891
2020-08-29 20:37:00,0.237,0.705,0.058,-0.765
2020-08-29 20:34:00,0.362,0.638,0.0,-0.5267
2020-08-29 20:28:00,0.0,1.0,0.0,0.0
2020-08-29 20:18:00,0.107,0.463,0.43,0.9466
2020-08-29 20:18:00,0.462,0.395,0.142,-0.9175
2020-08-29 20:18:00,0.0,0.846,0.154,0.4767
2020-08-29 20:13:00,0.306,0.573,0.121,-0.7003
2020-08-29 20:08:00,0.37,0.528,0.102,-0.8225
2020-08-29 20:05:00,0.0,0.55,0.45,0.9174
2020-08-29 19:50:00,0.321,0.679,0.0,-0.9062
2020-08-29 19:43:00,0.15,0.808,0.042,-0.5859
2020-08-29 19:42:00,0.111,0.526,0.363,0.8248
2020-08-29 19:19:00,0.161,0.677,0.161,0.0
2020-08-29 19:09:00,0.333,0.442,0.226,-0.6549
2020-08-29 19:08:00,0.135,0.595,0.27,0.5279
2020-08-29 19:05:00,0.0,0.659,0.341,0.7351
2020-08-29 19:01:00,0.232,0.696,0.072,-0.7579
2020-08-29 18:58:00,0.264,0.5,0.236,-0.2023
2020-08-29 18:58:00,0.0,0.833,0.167,0.4215
2020-08-29 18:52:00,0.099,0.636,0.265,0.5719
2020-08-29 18:49:00,0.196,0.664,0.14,-0.1779
2020-08-29 18:47:00,0.116,0.785,0.099,-0.1027
2020-08-29 18:44:00,0.196,0.499,0.305,0.4019
2020-08-29 18:43:00,0.141,0.39,0.468,0.9246
2020-08-29 18:41:00,0.223,0.777,0.0,-0.6486
2020-08-29 18:40:00,0.286,0.567,0.148,-0.6801
2020-08-29 18:37:00,0.077,0.697,0.226,0.6486
2020-08-29 18:37:00,0.434,0.458,0.108,-0.8377
2020-08-29 18:36:00,0.083,0.591,0.325,0.8402
2020-08-29 18:35:00,0.154,0.846,0.0,-0.6115
2020-08-29 18:29:00,0.137,0.529,0.335,0.6705
2020-08-29 18:26:00,0.316,0.521,0.163,-0.7402
2020-08-29 18:24:00,0.276,0.57,0.154,-0.6486
2020-08-29 18:23:00,0.116,0.562,0.322,0.6705
2020-08-29 18:23:00,0.135,0.865,0.0,-0.1027
2020-08-29 18:21:00,0.116,0.562,0.322,0.6705
2020-08-29 18:14:00,0.219,0.581,0.2,-0.0772
2020-08-29 18:12:00,0.333,0.667,0.0,-0.7906
2020-08-29 18:12:00,0.164,0.618,0.218,0.0
2020-08-29 18:10:00,0.0,0.752,0.248,0.765
2020-08-29 18:00:00,0.0,1.0,0.0,0.0
2020-08-29 17:57:00,0.361,0.426,0.213,-0.8062
2020-08-29 17:50:00,0.319,0.585,0.096,-0.8225
2020-08-29 17:47:00,0.289,0.462,0.249,-0.2828
2020-08-29 17:35:00,0.11,0.603,0.287,0.6124
2020-08-29 17:28:00,0.222,0.778,0.0,-0.25
2020-08-29 17:21:00,0.0,1.0,0.0,0.0
2020-08-29 17:19:00,0.162,0.471,0.366,0.5994
2020-08-29 17:17:00,0.216,0.634,0.15,-0.5106
2020-08-29 17:16:00,0.274,0.726,0.0,-0.7783
2020-08-29 17:12:00,0.285,0.647,0.068,-0.7722
2020-08-29 17:10:00,0.12,0.719,0.162,0.2057
2020-08-29 17:07:00,0.0,0.86,0.14,0.4767
2020-08-29 17:06:00,0.17,0.739,0.091,-0.4215
2020-08-29 17:04:00,0.218,0.726,0.057,-0.7269
2020-08-29 16:58:00,0.346,0.654,0.0,-0.9136
2020-08-29 16:56:00,0.0,1.0,0.0,0.0
2020-08-29 16:56:00,0.509,0.324,0.168,-0.9118
2020-08-29 16:53:00,0.171,0.689,0.14,-0.296
2020-08-29 16:52:00,0.117,0.614,0.269,0.6369
2020-08-29 16:43:00,0.141,0.706,0.153,0.1027
2020-08-29 16:35:00,0.258,0.556,0.186,-0.4588
2020-08-29 16:33:00,0.286,0.452,0.261,0.0
2020-08-29 16:30:00,0.589,0.411,0.0,-0.9169
2020-08-29 16:30:00,0.517,0.483,0.0,-0.8176
2020-08-29 16:28:00,0.268,0.732,0.0,-0.6597
2020-08-29 16:27:00,0.175,0.665,0.16,-0.1513
2020-08-29 16:25:00,0.386,0.614,0.0,-0.6597
2020-08-29 16:24:00,0.312,0.51,0.178,-0.7783
2020-08-29 16:21:00,0.193,0.807,0.0,-0.4767
2020-08-29 16:16:00,0.142,0.507,0.351,0.8834
2020-08-29 16:16:00,0.0,1.0,0.0,0.0
2020-08-29 16:14:00,0.239,0.761,0.0,-0.6597
2020-08-29 16:14:00,0.0,0.846,0.154,0.4062
2020-08-29 16:13:00,0.235,0.584,0.182,-0.3892
2020-08-29 16:11:00,0.337,0.586,0.077,-0.796
2020-08-29 16:03:00,0.176,0.601,0.223,0.3933
2020-08-29 16:01:00,0.249,0.554,0.197,-0.3612
2020-08-29 16:00:00,0.466,0.534,0.0,-0.9042
2020-08-29 15:54:00,0.267,0.733,0.0,-0.8402
2020-08-29 15:54:00,0.0,0.512,0.488,0.9092
2020-08-29 15:51:00,0.186,0.515,0.298,0.4657
2020-08-29 15:46:00,0.19,0.612,0.197,0.0258
2020-08-29 15:46:00,0.412,0.588,0.0,-0.7906
2020-08-29 15:45:00,0.071,0.457,0.472,0.836
2020-08-29 15:44:00,0.0,1.0,0.0,0.0
2020-08-29 15:44:00,0.43,0.505,0.065,-0.9451
2020-08-29 15:43:00,0.221,0.679,0.1,-0.5267
2020-08-29 15:43:00,0.173,0.679,0.148,-0.1027
2020-08-29 15:41:00,0.39,0.61,0.0,-0.8625
2020-08-29 15:38:00,0.474,0.526,0.0,-0.8442
2020-08-29 15:36:00,0.29,0.617,0.093,-0.7506
2020-08-29 15:30:00,0.438,0.562,0.0,-0.7906
2020-08-29 15:30:00,0.277,0.723,0.0,-0.8327
2020-08-29 15:28:00,0.11,0.532,0.358,0.7906
2020-08-29 15:28:00,0.0,1.0,0.0,0.0
2020-08-29 15:25:00,0.425,0.575,0.0,-0.8625
2020-08-29 15:25:00,0.287,0.421,0.291,0.0258
2020-08-29 15:23:00,0.345,0.455,0.2,-0.7003
2020-08-29 15:21:00,0.113,0.674,0.213,0.4215
2020-08-29 15:20:00,0.092,0.506,0.402,0.886
2020-08-29 15:20:00,0.0,0.742,0.258,0.765
2020-08-29 15:17:00,0.25,0.563,0.187,-0.5859
2020-08-29 15:16:00,0.125,0.785,0.09,-0.296
2020-08-29 15:16:00,0.413,0.482,0.106,-0.9371
2020-08-29 15:14:00,0.125,0.785,0.09,-0.296
2020-08-29 15:14:00,0.24,0.471,0.289,0.2732
2020-08-29 15:14:00,0.194,0.177,0.629,0.9231
2020-08-29 15:13:00,0.612,0.225,0.163,-0.8402
2020-08-29 15:12:00,0.279,0.564,0.157,-0.5994
2020-08-29 15:08:00,0.529,0.331,0.14,-0.891
2020-08-29 15:06:00,0.173,0.475,0.352,0.802
2020-08-29 15:04:00,0.385,0.515,0.1,-0.8885
2020-08-29 15:04:00,0.265,0.735,0.0,-0.7579
2020-08-29 15:03:00,0.337,0.663,0.0,-0.765
2020-08-29 15:01:00,0.058,0.376,0.566,0.9652
2020-08-29 14:59:00,0.106,0.444,0.451,0.8779
2020-08-29 14:58:00,0.11,0.698,0.192,0.3182
2020-08-29 14:58:00,0.159,0.515,0.326,0.5994
2020-08-29 14:56:00,0.466,0.389,0.145,-0.8779
2020-08-29 14:56:00,0.0,0.843,0.157,0.4215
2020-08-29 14:56:00,0.383,0.617,0.0,-0.4767
2020-08-29 14:55:00,0.199,0.631,0.17,-0.1531
2020-08-29 14:55:00,0.0,1.0,0.0,0.0
2020-08-29 14:54:00,0.091,0.509,0.399,0.8885
2020-08-29 14:53:00,0.202,0.688,0.11,-0.4588
2020-08-29 14:48:00,0.0,1.0,0.0,0.0
2020-08-29 14:48:00,0.0,1.0,0.0,0.0
2020-08-29 14:48:00,0.205,0.795,0.0,-0.5574
2020-08-29 14:46:00,0.0,1.0,0.0,0.0
2020-08-29 14:45:00,0.367,0.417,0.217,-0.5574
2020-08-29 14:42:00,0.434,0.566,0.0,-0.6801
2020-08-29 14:42:00,0.099,0.605,0.296,0.7351
2020-08-29 14:39:00,0.125,0.496,0.379,0.8271
2020-08-29 14:37:00,0.193,0.622,0.185,-0.0314
2020-08-29 14:37:00,0.077,0.546,0.377,0.8779
2020-08-29 14:35:00,0.184,0.476,0.34,0.3182
2020-08-29 14:33:00,0.0,0.739,0.261,0.7717
2020-08-29 14:31:00,0.096,0.373,0.531,0.9325
2020-08-29 14:28:00,0.424,0.48,0.096,-0.8481
2020-08-29 14:28:00,0.0,0.803,0.197,0.4019
2020-08-29 14:26:00,0.197,0.563,0.239,0.1531
2020-08-29 14:23:00,0.0,0.642,0.358,0.5994
2020-08-29 14:23:00,0.0,0.57,0.43,0.9442
2020-08-29 14:21:00,0.179,0.673,0.147,-0.25
2020-08-29 14:20:00,0.175,0.474,0.351,0.5729
2020-08-29 14:19:00,0.0,0.842,0.158,0.4588
2020-08-29 14:16:00,0.332,0.468,0.2,-0.7351
2020-08-29 14:15:00,0.0,0.845,0.155,0.0258
2020-08-29 14:07:00,0.239,0.664,0.096,-0.6486
2020-08-29 14:04:00,0.0,0.772,0.228,0.7351
2020-08-29 14:04:00,0.096,0.541,0.363,0.8126
2020-08-29 14:00:00,0.3,0.563,0.136,-0.5423
2020-08-29 13:57:00,0.36,0.561,0.079,-0.8591
2020-08-29 13:54:00,0.102,0.475,0.424,0.8883
2020-08-29 13:53:00,0.119,0.678,0.203,0.25
2020-08-29 13:53:00,0.112,0.537,0.351,0.7096
2020-08-29 13:53:00,0.3,0.477,0.223,-0.2263
2020-08-29 13:53:00,0.42,0.372,0.208,-0.7717
2020-08-29 13:50:00,0.181,0.819,0.0,-0.4767
2020-08-29 13:49:00,0.241,0.653,0.105,-0.5859
2020-08-29 13:47:00,0.15,0.85,0.0,-0.3182
2020-08-29 13:46:00,0.355,0.645,0.0,-0.765
2020-08-29 13:45:00,0.123,0.877,0.0,-0.4215
2020-08-29 13:43:00,0.23,0.593,0.178,-0.1779
2020-08-29 13:43:00,0.307,0.693,0.0,-0.4767
2020-08-29 13:40:00,0.12,0.664,0.216,0.4404
2020-08-29 13:39:00,0.364,0.507,0.128,-0.836
