0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0
,0.13440000000000002,0.0,-0.04347857142857142,-0.18066,0.0022394265232974987,0.3885333333333334,-0.011008695652173913,-0.4366,-0.3113,,-0.021639999999999993,,,0.046325,0.6808,,-0.44279999999999997,0.5719,-0.6808,,0.0,-0.13726666666666665,,,,,-0.3515818181818182,0.1414,,,,,0.5264454545454545,0.011733333333333337,0.1028,,,-0.3177,-0.1027,,-0.5095,,,,,0.08466666666666667,-0.7378,0.34,
,,,0.13947142857142855,0.035350000000000006,-0.2233,0.5574,,,,0.0,,,,0.0258,,,,,,,,,,,,0.0,-0.1531,0.86785,,,,,,,,,,,,,,,,,,,,,
,0.0258,,-0.2481,,-0.08523333333333333,-0.51145,0.3954,-0.7579,,,,,,-0.6597,,,,,,,,,,,0.9412,,,0.8402,-0.4678,,,,,,,,,,,,,,,-0.9318,,,,,
-0.3587,0.4667666666666666,,,0.3291,0.14032499999999998,0.19695,-0.9359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1027,,,,,,,,,,,
,,,,0.3933,0.3473,,,,,,,,,0.6486,,-0.6705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.0,0.3182,-0.0816,,,,,,,-0.7278,,,,,,,,,,,,,,,,,-0.4946,0.5574,,,,,,,,,,0.908,,,,,,,,,
,,,,,-0.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.2594,,,,,,,,,0.7351,,,,,,,,,,,,,,,,,,,,0.7096,,,,,,,,,,,,,,,
,,,,,-0.5267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
