Tweet_count,Username,tweet_text,Created at,Location,Followers Count,retweet_count,Favorite Count,formatted_created_at,Contains_Keyword,Original_Tweeter,mentions,retweet_id,reply_to,sentiment,neg,neu,pos,compound,Community,engagement_rate,followers_per_tweet,log_engagement_rate,log_followers_per_tweet,tweet_id,tweet_type,linked_tweet_id
1305,Poobalan (பூபாலன்),"RT @GSCinemas: Sad, sad news this morning.
Black Panther star, Chadwick Boseman passed away at 43. His Twitter account reported that he had been battling colon cancer.

RIP Chadwick.  https://t.co/HqUUbLTjXn",Sat Aug 29 10:15:38 +0000 2020,"ÜT: 2.976251,101.574587",821,0,0,2020-08-29 10:15:38+00:00,True,GSCinemas,['@GSCinemas'],Missing_Retweet_ID,,"{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.9136}",0.328,0.672,0.0,-0.9136,Other,0.0,0.6291187739463602,0.0,0.48803923914509945,1304,retweet,
3398,sjo2009,"RT @DanSlott: He passed away on Jackie Robinson day
and Black Panther creator, Jack Kirby's birthday.
It all feels so unreal.",Sat Aug 29 02:48:56 +0000 2020,,356,0,0,2020-08-29 02:48:56+00:00,False,DanSlott,['@DanSlott'],Missing_Retweet_ID,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Other,0.0,0.10476751030017657,0.0,0.0996349149145768,3442,retweet,
1332,THUMB_BNO,RT @Marvel: Marvel is saddened to learn artist Neal Adams has passed away. Neal's photorealistic style helped shape the Marvel Universe and,Fri Apr 29 22:38:13 +0000 2022,,2,0,0,2022-04-29 22:38:13+00:00,True,Marvel,['@Marvel'],Missing_Retweet_ID,,"{'neg': 0.121, 'neu': 0.679, 'pos': 0.2, 'compound': 0.296}",0.121,0.679,0.2,0.296,6.0,0.0,0.0015015015015015015,0.0,0.0015003753752345812,6066,retweet,
1781,Ivan,"RT @PopCrave: French actor Gaspard Ulliel, one of the stars of Marvel's upcoming Moon Knight series, has passed away at the age of 37 due to a ski accident, @afpfr reports. https://t.co/YOhYftngi0",Wed Jan 19 16:39:01 +0000 2022,"Paris, France",2230,0,0,2022-01-19 16:39:01+00:00,False,PopCrave,"['@PopCrave', '@afpfr']",Missing_Retweet_ID,,"{'neg': 0.094, 'neu': 0.906, 'pos': 0.0, 'compound': -0.4767}",0.094,0.906,0.0,-0.4767,Other,0.0,1.2521055586749017,0.0,0.8118655824803912,6515,retweet,
2540,☀️TogetherWeCan☀️,"RT @TheJack_Garcia: One year ago today, Chadwick Boseman passed away from cancer. From Black Panther to 42 he has left a lasting impact on our culture &amp; we will continue to praise the outstanding work hes left us. Rest In Power, Chadwick ",Sun Aug 29 07:12:40 +0000 2021,,3124,0,0,2021-08-29 07:12:40+00:00,False,TheJack_Garcia,['@TheJack_Garcia'],Missing_Retweet_ID,,"{'neg': 0.088, 'neu': 0.76, 'pos': 0.152, 'compound': 0.4939}",0.088,0.76,0.152,0.4939,Other,0.0,1.2299212598425198,0.0,0.8019662753609734,7274,retweet,
